id,text,explanation,tag
145,"A message chain that circulates on WhatsApp indicating that the Province of Buenos Aires (Argentina) is looking for volunteers for the vaccination campaign and is willing to pay $ 32 thousand is false, the Buenos Aires Ministry of Health stating that the vaccination campaign is unpaid and based on solidarity, and advising people not to complete the Google Forms accompanying the text or send on the text.","A message is circulating that summons volunteers to join the Buenos Aires Province vaccination plan in exchange for a remuneration of $ 32 thousand, but it is false. The Buenos Aires Ministry of Health denied the viral chain and pointed out that the volunteer campaign that they promote for the second stage of the ""Buenos Aires Vacunate"" plan is solidarity and unpaid. In addition, the Ministry indicates that volunteers should not complete the Google form that accompanies the viral text and, through which, personal data is requested, since it is a misinformation.",TRUE
146,"The claim that masks have negative impacts on 68% of children comes from a project in Germany using a self-selected group of parents who reported their children's negative reactions to wearing masks using subjective criteria, skewing the results and making the findings non-applicable to the general population. ",A project in Germany gave a self-selected group of parents a chance to report children's negative reactions to wearing masks using subjective criteria to describe their childrens' reactions.,TRUE
147,The image that says  Bill Gates' plan regarding the pandemic is to introduce a chip through COVID-19 vaccines is false and misunderstands the concept of digital certificates.,The image is false because it confuses the concept of digital certificate to cast doubt on the vaccines,TRUE
148,"The rumor that Lula's son, Fabio Lula da Silva, and Jouo Doria, governor of Suo Paulo, conspired to buy stocks from Sinovac and that Lula's son currently owns 20% of the company is false, because Sinovac stocks have been frozen since February 2019 and none of the shareholders are Brazillian.",Sinovac stocks are frozen since February 2019. None of their major stockholders are Brazilian,TRUE
149,"In 1996 Pfizer tested an experimental antibiotic (Trovan) in parallel to ceftriaxone (gold standard) on a hundred minors each in Nigeria, and there were reported five deaths in the Trovan group and six in the cefrtiaxone one, not ""two hundred deaths"". The parents' informed consent and the suitability of the dosage (allegedly too low) has been called into question and after a 15-year court dispute, Pfizer paid out USD 175,000 to the families of four of the children each.","In 1996, when Nigeria was hit by meningitis epidemic, a hundred children were given an experimental oral antibiotic Trovan developed by Pfizer, while a further hundred received ceftriaxone, the 'gold-standard treatment of modern medicine. Five children died after taking Trovan and six ' after taking ceftriaxone. But later it was claimed that Pfizer did not have proper consent from parents to use an experimental drug on their children and questions were raised over the documentation of the trial. Legal action filed against the company alleged that some received a dose lower than recommended, leaving many children with brain damage, paralysis or slurred speech. Pfizer had argued that meningitis and not its antibiotic had led to the deaths of 11 children. Ultimately, following a 15-year court dispute, Pfizer paid out USD 175,000 to the families of four of the children each.",TRUE
150,"The claim that ivermectin is a drug that can eliminate the coronavirus in 48 hours is very misleading, because ivermectin has proven effective against SARS-CoV-2 only used on cell cultures in much higher concentrations than the ones approved for human, and unregulated use can be highly toxic.",Ivermectin was only tested in cell cultures where it was shown to be effective against SARS-CoV-2 when used in concentrations higher than those approved for use in humans; unregulated use is highly toxic.,TRUE
151,"Actor Fernanda Torres did not say that she hoped that COVID-19 helped eliminate Bolsonaro's supporters, she wrote a text criticizing the federal government's lack of actions against COVID-19 and Bolsonaro's supporters denial of the pandemic.","She wrote a text criticizing the federal government's lack of actions against COVID-19 and Bolsonaro's supporters denial of the pandemic, but she did not say she hoped they died",TRUE
152,"The rumor that Covid-19 vaccines alter the genetic code and can cause cancer is false: according to health authorities, virologists and oncologists, the interaction with the genetic material in these immunizations is minimal and restricted to the action against the coronavirus in the body, with no capacity to cause mutations or cancer.","According to health authorities, virologists and oncologists, the interaction with the genetic material in these immunizations is minimal and restricted to the action against the coronavirus in the body, with no capacity to cause mutations or cancer.",TRUE
153,"The rumor that Luciano Hang, Bolsonaro's militant businessman, donated 200 oxygen cylinders to the state of Amazonas is false: as of the date of publication, the businessman hadn't made any donations, as his adviser informed Aos Fatos.","As of the date of publication, the businessman hadn't made any donations, as his adviser informed Aos Fatos.",TRUE
154,"The COVID-19 antigen tests do not come prepared to test positive or negative, the antigen test control swabs are used to check if the test reagents are working properly.",These are antigen test control swabs and are used to check if the test reagents are working properly,TRUE
155,"The rumor that the UN publishes the list of countries that have purchased COVID vaccines from the different laboratories when, when and from whom they bought,  and that MEXICO is not on that list, is false; the agency has not published such lists and Mexico does appear on the list of countries that will receive doses from the COVAX initiative.","It's false that the agency has published such information, and Mexico does appear in the list of countries that will receive doses from the COVAX initiative",TRUE
156,The rumor that the WHO Has Ranked Sri Lanka Fifth Best Country For Covid-19 Response is false and originates from a fake post that is going viral on social media.,The World Health Organization hasn't ranked Sri Lanka fifth best country for Covid-19 response'. Fake post is going viral on social media.,TRUE
157,"The rumor that a woman died in few seconds after taking COVID vaccine is false, the woman is alive and simply fainted after taking the jab.",The woman who fainted after taking the jab is alive.,TRUE
158,"The claim that the WHO is now saying you do not need to wear a mask is false, the WHO recommends wearing a mask to protect against COVID-19.",WHO recommends people wear masks to protect against COVID-19.,TRUE
159,The message that Ecuador found the cure for coronavirus is false.,The message is false because Ecuador have not find the cure.,TRUE
160,"The claim that clinical trials in Indonesia recorded Sinovac's COVID-19 vaccine as having a 91.25% efficacy rate is false, the efficacy rate in Indonesia is 65.3% and in Turkey is 91.25% for Phase III trials.",Interim data from the Phase III trials of the Sinovac vaccine in Indonesia showed an efficacy rate of 65.3%. It was a Phase III trial in Turkey that tallied a 91.25% efficacy rate.,TRUE
161,"Amapa state has adopted""early treatment protocol and has the lowest lethality rates in the world","There are at least 57 countries with a lower lethality rate than Amapa. Also, the state has the third highest mortality rate, which is a far more relevant indicator",FALSE
162,"Joe Biden has stated hydroxychloroquine is effective against COVID-19, and the media refused to criticize him",Biden never said hydroxychloroquine is effective,FALSE
163,"Carlos Bolsonaro, son of President Jair Bolsonaro, skipped the line and received a dose of the Covid-19 vaccine","The Ministry of Defense and the Eastern Military Command, responsible for the hospital where the vaccination would have occurred, denied the information. Carlos Bolsonaro also denied the publications.",FALSE
164,"Without confirmation of being vaccinated they will not be able to visit restaurants, cafes, cinemas","This statement was made by the British Under-Secretary of State for COVID-19 Vaccine Deployment, Nadim Zahavi. He stated this two months ago, in November. But he does not say that the state will introduce this and that it will definitely happen, but that it is possible that certain businesses such as pubs and restaurants will require proof of vaccination before allowing entry. This is not fully explained in the text from which it can be understood that the state will introduce bans and restrictions.",FALSE
165,Image that places migrants as a priority group for vaccination against COVID-19 is an official document of the Ministry of Health,"The image comes from a November 2020 study by an independent platform of scientists, which ensures that it is not an official document of the Ministry of Health",FALSE
166,A study published in Nature says between the lines that 80.2% of PCR positives are false,The PCR-positive coronavirus samples that were not able to create viral cultures were not false positives but were non-infectious coronaviruses because they were patients with antibodies that had been infected several days ago.,FALSE
167,The National Death Index indicates that there were fewer deaths in 2020 than in 2019,"The difference between the report for January 2020 and January 2021 is 58,230 more deaths in 2020 than in 2019",FALSE
168,"The COVID-19 vaccine is not designed to prevent infection, but to prevent the disease from worsening.","In the clinical studies conducted to verify the efficacy of the two mRNA vaccines, the efficacy in preventing the onset of disease exceeded 90% in both cases. This means that the incidence of the disease was reduced by more than 90% in those who received the vaccine compared to the incidence in those who did not receive the vaccine, which is presumed to be highly effective in preventing the disease.",FALSE
169,the image shows President Joe Biden and former Secretary of State Hillary Clinton forgoing face masks in private during the COVID-19 pandemic.,"The photo was taken in 2016, several years before the COVID-19 pandemic started.",FALSE
170,The PCR test inventor Kary Mullis said it can't be used in COVID-19 virus detection,"This quote appears not to be a direct quote from the inventor, Kary Mullis and is actually from an article written by John Lauritsen in December 1996 about HIV and AIDS, not COVID-19. Even if Mullis had voiced a similar statement before his death in 2019, this quote does not mean the PCR test is unable to detect the presence of SARS-CoV-2 - the virus that causes COVID-19 - rather that it cannot determine whether the individual tested is infectious.",FALSE
171,"People queuing in Sierra Nevada after the Government of Andalusia approved the mobility restriction measures on January 16, 2021","The video has been circulating since at least the 8th of this month, when mobility between Andalusian provinces was not restricted.",FALSE
172,"The newspaper Diario Sur has published that Malaga, Marbella and practically the entire Costa del Sol will close all non-essential activity","it is false. There is no proof that it has been published and the director of the medium, Manuel Castillo, has denied that it is a tweet from Diario Sur.",FALSE
173,"lack of approval for some production plants, lack of data on commercial vaccine batches, and most importantly, the fact that significant differences were found between commercial series and those applied during clinical trials. It is the last point that causes the greatest concern among researchers dealing with vaccine quality assessments.","The ongoing investigation into the cyber attack on EMA has revealed that some of the documents related to drugs and vaccines for covid-19 have been leaked on the Internet, the publication of which is illegal. Among them is an internal / confidential e-mail, dating from November, relating to the evaluation processes of covid-19 vaccines. Some of the correspondence was manipulated by the perpetrators before publication in a way that could undermine confidence in vaccines.",FALSE
174,WHO Has Ranked Sri Lanka Fifth Best Country For Covid-19 Response,The World Health Organization hasn't ranked Sri Lanka fifth best country for Covid-19 response'. Fake post is going viral on social media.,FALSE
175,Presidential Spokesperson Harry Roque said the poor have no right to be fussy about which COVID-19 vaccine they will receive from the government.,This is fabricated. There are no official records or news reports of Roque making those remarks.,FALSE
176,"Luzon and the entire Philippines will be put under""total lockdown.","These posts are false. No announcements have been made by the president nor the Inter-Agency Task Force for the Management of Emerging Infectious Diseases (IATF-EID), about implementing a country-wide or Luzon-wide enhanced community quarantine (ECQ) or total lockdown.",FALSE
177,The AstraZeneca vaccine contains genetically modified embryonic human kidney cells. It can be obtained in human or human embryos reared in test tubes,"The vaccine is produced in genetically modified human embryonic kidney (HEK) 293 cells. HEK cells, which were once derived from embryonic kidney cultures, are cell lines that are used for many investigations.",FALSE
178,COVID-19 vaccines produce seizures,The videos posted on Facebook aren't enough evidence about vaccines' possible side effects,FALSE
179,HOSPITALS ON LOCKDOWN AS FIRST COVID VACCINE PATIENTS START EATING OTHER PATIENTS,The photo showing violence in hospital is old and unrelated to COVID vaccination. The viral post is fake.,FALSE
180,"Hank Aaron's death was a result of being vaccinated against COVID-19 in early January,","Aaron died from natural causes, according to the medical examiner's office in Fulton County, Georgia.",FALSE
181,This video shows an empty hospital in Switerland during the pandemic,This departement was closed,FALSE
182,Nobel medicine Tasuku Honjo said that coronavirus was not natural,Honjo denied the false statement,FALSE
183,A video circulating on social networks claims that taking ibuprofen and influenza fights COVID and even reduces mortality from the disease,"Taking any anti-inflammatory is optimal to reduce symptoms in the patient, but that does not attack the virus, nor does it solve the disease",FALSE
184,"The World Health Organization released guidance to laboratories to reduce the cycle count in PCR tests, as the current cycle counts are too high and result in false-positives.","The COVID-19 PCR test detects the presence of the genetic material of the virus that causes COVID-19, SARS-CoV-2. The test is highly sensitive, meaning that it can detect very small amounts of the virus in infected individuals, including those in the early or late stages of infection. The test is also highly specific for SARS-CoV-2, meaning that it doesn't detect the presence of other viruses, such as other members of the coronavirus family that cause the common cold. Although no tests are 100% accurate, given the PCR test's high sensitivity and specificity, most positive COVID-19 PCR test results are true positives.",FALSE
185,"In Australia the whole country takes ivermectin. Supposedly, this antiparasitic makes you""immune to COVID-19 and therefore in that nation""there was not a single infected or a single death.",In Australia there are also thousands of COVID-19 cases. The authorities issued sanitary restrictions and have not authorized ivermectin as a treatment against COVID-19.,FALSE
186,Jair Bolsonaro disobeyed the Supreme Court and committed a crime of responsibility by ordering the sending of supplies and equipment to Amazonas,The brazilian federal government isn't prohibited by the Supreme Court from acting against the pandemic.,FALSE
187,"Pfizer and Moderna's COVID-19 vaccines are not classical vaccines, since they were obtained through a combination of gene synthesis and DNA technology. The vaccine will change coding in a human gene. After vaccination, 80% of vaccinated people experienced clinical side effects.","On Moderna's website, the mRNA technology  in fact, has been compared with the operating system of a computer. However, it relates to the unique mRNA sequence, encoded to produce a protein and it does not mean, that any electronic device is inserted into a human body. mRNA vaccines do not have an impact on a human DNA, since they do not enter the cell nucleus, where genetic material is kept. Neither is it true that 80% of vaccinated experienced clinical side effects. In fact, in case of both these vaccines, severe side effects were rare, while the efficacy of the vaccines was about 95%.",FALSE
188,The health authority has closed the store of a Chinese person in Galdar (Gran Canaria) due to an outbreak of Covid-19,Public Health ensures that the health authorities have not closed these establishments or any other in these locations due to covid,FALSE
189,The United States are officially recommending hydroxychloroquine against COVID-19,Hydroxychloroquine is not officially recommended as a treatment for COVID-19 by any US health authority,FALSE
190,Photos of two nurses that had severe adverse reactions against COVID-19 and were admitted to a hospital,"The photo is real. Two nurses felt nauseated after taking a jab, and one of them vomited on the floor. Nonetheless, a few hours later, they were feeling better and were sent home. They were not admited in any hospital. This is not considered a severe reaction",FALSE
191,An Indian Muslim cleric talking about a mind-controlling microchip injected through Covid-19 vaccinations.,The video has circulated in reports about a cleric in Pakistan. Health experts have refuted the cleric's suggestions about Covid-19 vaccines.,FALSE
192,"Carlos Bolsonaro, Jair Bolsonaro's son, was seen taking a jab at a Military Hospital in Rio, despite not being in any priority group",The hospital mentioned in the tweet did not start vaccinating people the day it was published,FALSE
193,"23 people are""dead from the Pfizer-BioNTech coronavirus vaccine in Norway.","As of January 22, 2021, health authorities in Norway have said there was no direct causal link between the deaths and the Covid-19 vaccinations.",FALSE
194,"Poland, Sweden and Norway have filed a lawsuit against the WHO for infecting Europe","The Norwegian and Swedish foreign ministries have denied Maldita.es having filed such a lawsuit, while Reuters claims it has not reported it. Nor have we found any official statement from those three countries or any news in the media about this alleged complaint.",FALSE
195,A video of a man fainting after receiving the Covid-19 vaccine in Indonesia's West Nusa Tenggara province,"The footage actually shows a vaccine simulation exercise in East Nusa Tenggara province; a government official said that the exercise included ""a simulation on how to handle a person who suddenly faints"".",FALSE
196,Rothschild family patented Covid-19 test kits back in 2015,The patent application for the diagnosis of the disease was added to the file later and dated 2020.,FALSE
197,World Health Organization (WHO) ranked Sri Lanka fifth in a table of countries' responses to the coronavirus pandemic.,WHO said it had not created any such ranking system.,FALSE
198,WHO made a statement and admitted that PCR tests are futile when it comes to coronavirus detection.,"The WHO hasn't admitted the ""futility"" of PCR tests, the organization's statement notes that when diagnosing coronavirus,  patients' clinical presentation and their contacts with confirmed cases should be taken into consideration together with PCR test results. The WHO hasn't made a statement about 97% inaccuracy of PCR tests. Such a statement belongs to an Irish doctor Vincent Carroll and other specialists in this field disagree.",FALSE
199,Sinovac announced the effectiveness of the CoronaVac vaccine as 70 percent,Sinovac did not disclose an efficacy rate for the CoronaVac vaccine. The figure of 70 percent shows the results obtained from the trials conducted just in Brazil.,FALSE
200,"Amapa state does not have the lowest lethality rates in the world, the state has the third highest mortality rate.","There are at least 57 countries with a lower lethality rate than Amapa. Also, the state has the third highest mortality rate, which is a far more relevant indicator",TRUE
201,"Joe Biden never stated that hydroxychloroquine is effective against COVID-19, so the media has no reason to criticise him.",Biden never said hydroxychloroquine is effective,TRUE
202,Both Carlos Bolsonaro and the Ministry of Defense and the Eastern Military Command denied the rumor that Carlos Bolsonaro skipped the line and received a dose of the Covid-19 vaccine. ,"The Ministry of Defense and the Eastern Military Command, responsible for the hospital where the vaccination would have occurred, denied the information. Carlos Bolsonaro also denied the publications.",TRUE
203,"The rumor that without confirmation of being vaccinated people will not be able to visit restaurants, cafes and cinemas is false, it is only possible that certain businesses will require proof of vaccination before allowing entry.","This statement was made by the British Under-Secretary of State for COVID-19 Vaccine Deployment, Nadim Zahavi. He stated this two months ago, in November. But he does not say that the state will introduce this and that it will definitely happen, but that it is possible that certain businesses such as pubs and restaurants will require proof of vaccination before allowing entry. This is not fully explained in the text from which it can be understood that the state will introduce bans and restrictions.",TRUE
204,"The image that places migrants as a priority group for vaccination against COVID-19 comes from a November 2020 study by an independent platform of scientists, not an official document of the Ministry of Health.","The image comes from a November 2020 study by an independent platform of scientists, which ensures that it is not an official document of the Ministry of Health",TRUE
205,"A study published in Nature says that PCR-positive coronavirus samples were not able to create viral cultures because they came from patients who had been infected several days go and had developed antibodies, not that 80.2% of resulta are false positives.",The PCR-positive coronavirus samples that were not able to create viral cultures were not false positives but were non-infectious coronaviruses because they were patients with antibodies that had been infected several days ago.,TRUE
206,"The rumor that the National Death Index indicates that there were fewer deaths in 2020 than in 2019 is false, because there were 58,230 more death for 2020 than 2019.","The difference between the report for January 2020 and January 2021 is 58,230 more deaths in 2020 than in 2019",TRUE
207,"The COVID-19 vaccine is designed to prevent the disease from worsening, but the vaccine has also been found to prevent infection in over 90% of the cases.","In the clinical studies conducted to verify the efficacy of the two mRNA vaccines, the efficacy in preventing the onset of disease exceeded 90% in both cases. This means that the incidence of the disease was reduced by more than 90% in those who received the vaccine compared to the incidence in those who did not receive the vaccine, which is presumed to be highly effective in preventing the disease.",TRUE
208,"The image that shows President Joe Biden and former Secretary of State Hillary Clinton allegedly forgoing face masks in private during the COVID-19 pandemic was taken in 2016, several years before the pandemic started.","The photo was taken in 2016, several years before the COVID-19 pandemic started.",TRUE
209,"The inventor of the PCR test did not say that it can't be used for COVID-19 virus detection,  the quote is from an article from 1996 about HIV and AIDS, and it refers to the test not being able to determine whether the individual tested is infectious, even if the PCR test can detect the presence of the virus.","This quote appears not to be a direct quote from the inventor, Kary Mullis and is actually from an article written by John Lauritsen in December 1996 about HIV and AIDS, not COVID-19. Even if Mullis had voiced a similar statement before his death in 2019, this quote does not mean the PCR test is unable to detect the presence of SARS-CoV-2 - the virus that causes COVID-19 - rather that it cannot determine whether the individual tested is infectious.",TRUE
210,"The video of people queuing in Sierra Nevada has been circulating since at least the 8th, when mobility between Andalusian provinces was not restricted, it is not a video of people gathering after the Government of Andalusia approved the mobility restriction measures on January 16, 2021.","The video has been circulating since at least the 8th of this month, when mobility between Andalusian provinces was not restricted.",TRUE
211,"There is no proof that the newspaper Diario Sur has published that Malaga, Marbella and practically the entire Costa del Sol will close all non-essential activity, and the director, Manuel Castillo, has denied that it is a tweet from Diario Sur.","it is false. There is no proof that it has been published and the director of the medium, Manuel Castillo, has denied that it is a tweet from Diario Sur.",TRUE
212,"The investigation into the cyber attack on EMA has revealed that some of the documents related to drugs and vaccines for covid-19 have been leaked on the internet, but some of that correspondence was manipulated before publication in order to undermine confidence in vaccines.","The ongoing investigation into the cyber attack on EMA has revealed that some of the documents related to drugs and vaccines for covid-19 have been leaked on the Internet, the publication of which is illegal. Among them is an internal / confidential e-mail, dating from November, relating to the evaluation processes of covid-19 vaccines. Some of the correspondence was manipulated by the perpetrators before publication in a way that could undermine confidence in vaccines.",TRUE
213,The World Health Organization hasn't ranked Sri Lanka fifth best country for Covid-19 response.,The World Health Organization hasn't ranked Sri Lanka fifth best country for Covid-19 response'. Fake post is going viral on social media.,TRUE
214,There are no official records or news reports of Presidential Spokesperson Harry Roque saying that the poor have to right to be fussy about which COVID-19 vaccine they will receive from the government.,This is fabricated. There are no official records or news reports of Roque making those remarks.,TRUE
215,"No announcements have been made by the president nor the Inter-Agency Task Force for the Management of Emerging Infectious Diseases (IATF-EID), about implementing a country-wide or Luzon-wide enhanced community quarantine (ECQ) or total lockdown.","These posts are false. No announcements have been made by the president nor the Inter-Agency Task Force for the Management of Emerging Infectious Diseases (IATF-EID), about implementing a country-wide or Luzon-wide enhanced community quarantine (ECQ) or total lockdown.",TRUE
216,"The rumor that the AstraZeneca vaccine can be obtained in human or human embryos reared in test tubes is false, the vaccine is produced genetically modified human embryonic kidney (HEK) 293 cells which were once derived from embryonic kidney cultures and are currently used for many investigations.","The vaccine is produced in genetically modified human embryonic kidney (HEK) 293 cells. HEK cells, which were once derived from embryonic kidney cultures, are cell lines that are used for many investigations.",TRUE
217,"The claim that the COVID-19 vaccines produce seizuresis false, and videos posted on Facebook aren't enough evidence about vaccines' posiible side effects.",The videos posted on Facebook aren't enough evidence about vaccines' possible side effects,TRUE
218,"The viral post about hospitals being on lockdown as first COVID patients start eating other patients is fake, the photo showing violence in a hospital is old and unrelated to COVID vaccination.",The photo showing violence in hospital is old and unrelated to COVID vaccination. The viral post is fake.,TRUE
219,"Hank Aaron's death was not a result of being vaccinated against COVID-19 in early January, as he died from natural causes, according to the medical examiner's office in Fulton County, Georgia.","Aaron died from natural causes, according to the medical examiner's office in Fulton County, Georgia.",TRUE
220,The video showing an empty hospital in Switzerland during the pandemic was filmed while the department was closed.,This departement was closed,TRUE
221,"The rumor that Tasuku Honjo, Medicine Nobel prize winner, said that the coronavirus is not natural, is untrue, and he denied the false statement.",Honjo denied the false statement,TRUE
222,"A video claiming that taking ibuprofen fights COVID and even reduces mortality from the disease is untrue, because taking an anti-inflammatory such as ibuprofen can reduce the symptoms in the patient, but it does not attack the virus or cure the disease.","Taking any anti-inflammatory is optimal to reduce symptoms in the patient, but that does not attack the virus, nor does it solve the disease",TRUE
223,"The rumor that the World Health Organization interfered in the way tests were ran because of too many false-positives is false. The COVID-19 PCR test is highly sensitive and highly specific for SARS-CoV-2, and because of the most positive COVID-19 PCR test results are true positives.","The COVID-19 PCR test detects the presence of the genetic material of the virus that causes COVID-19, SARS-CoV-2. The test is highly sensitive, meaning that it can detect very small amounts of the virus in infected individuals, including those in the early or late stages of infection. The test is also highly specific for SARS-CoV-2, meaning that it doesn't detect the presence of other viruses, such as other members of the coronavirus family that cause the common cold. Although no tests are 100% accurate, given the PCR test's high sensitivity and specificity, most positive COVID-19 PCR test results are true positives.",TRUE
224,"The rumor that in Australia the whole country takes ivermectin, an antiparasitic, and that that makes them immune to COVID-19 and that there was not a single infected or dead is false, as authorities have not authorized ivermectin as a treatment against COVID-19 and Australia has thousands of COVID-19 cases.",In Australia there are also thousands of COVID-19 cases. The authorities issued sanitary restrictions and have not authorized ivermectin as a treatment against COVID-19.,TRUE
225,"The Supreme Court didn't prohibit the Brazilian Federal Government from acting against the pandemic, so Jair Bolsonaro did not committed a crime of responsibility by ordering the sending of supplies and equipment to Amazonas.",The brazilian federal government isn't prohibited by the Supreme Court from acting against the pandemic.,TRUE
226,"The claim that Pfizer and Moderna's COVID-19 vaccines will change the human genome is false because the Pfizer and Moderna do not have an impact on human DNA since they do not enter the cell nucleus, where the genetic material is kept, and severe side effects are rare for these vaccines.","On Moderna's website, the mRNA technology  in fact, has been compared with the operating system of a computer. However, it relates to the unique mRNA sequence, encoded to produce a protein and it does not mean, that any electronic device is inserted into a human body. mRNA vaccines do not have an impact on a human DNA, since they do not enter the cell nucleus, where genetic material is kept. Neither is it true that 80% of vaccinated experienced clinical side effects. In fact, in case of both these vaccines, severe side effects were rare, while the efficacy of the vaccines was about 95%.",TRUE
227,"The rumor that the health authority has closed the store of a Chinese person in Galdar (Gran Canaria) due to an outbreak of Covid-19 is false, according to Public Health.",Public Health ensures that the health authorities have not closed these establishments or any other in these locations due to covid,TRUE
228,The rumor that the United States are officially recommending hydroxychloroquine against COVID-19 is false.,Hydroxychloroquine is not officially recommended as a treatment for COVID-19 by any US health authority,TRUE
229,"The photos of two nurses that had adverse reactions against COVID-19 and were admitted to a hospital are real, but the two weren't admitted into any hospital and both felt better and were sent home after a few hours, so it is not considered that they had a severe reaction.","The photo is real. Two nurses felt nauseated after taking a jab, and one of them vomited on the floor. Nonetheless, a few hours later, they were feeling better and were sent home. They were not admited in any hospital. This is not considered a severe reaction",TRUE
230,"The video about an Indian Muslim cleric talking about a mind-controlling microchip injected through Covid-19 vaccinations is about a cleric from Pakistan, and health experts have refuted his statements about Covid-19.",The video has circulated in reports about a cleric in Pakistan. Health experts have refuted the cleric's suggestions about Covid-19 vaccines.,TRUE
231,"The rumor that Carlos Bolsonaro, was seen taking a jab at a Military Hospital in Rio, despite not being in any priority group is false, and the hospital mentioned in the tweet did not start vaccinating people the day it was published.",The hospital mentioned in the tweet did not start vaccinating people the day it was published,TRUE
232,"The rumor that 23 people are dead from the Pfizer-BioNTech coronavirus vaccine in Norway is false, because as of January 22, 2021, health authorities have said that there was no direct causal link between the deaths and the Covid-19 vaccinations.","As of January 22, 2021, health authorities in Norway have said there was no direct causal link between the deaths and the Covid-19 vaccinations.",TRUE
233,"There is no official statement or news in the media about Poland, Sweden and Norway filing a lawsuit against the WHO for infecting Europe, and the Norwegian and Swedish foreign ministries have denied Maldita.es having filed such a lawsuit, while Reuters claims it has not reported it.","The Norwegian and Swedish foreign ministries have denied Maldita.es having filed such a lawsuit, while Reuters claims it has not reported it. Nor have we found any official statement from those three countries or any news in the media about this alleged complaint.",TRUE
234,A video of a man fainting after receiving the Covid-19 vaccine in Indonesia's West Nusa Tenggara province is from East Nusa Tenggara province and shows a vaccine simulation exercise that included a simulation of how to handle a person who suddenly faints.,"The footage actually shows a vaccine simulation exercise in East Nusa Tenggara province; a government official said that the exercise included ""a simulation on how to handle a person who suddenly faints"".",TRUE
235,"Rothschild family did not patent Covid-19 test kits back in 2015, the patent application for the diagnosis of the disease was added to the file later and dated 2020.",The patent application for the diagnosis of the disease was added to the file later and dated 2020.,TRUE
236,"The rumor that the World Health Organization (WHO) ranked Sri Lanka fifth in a table of countries' responses to the coronavirus pandemic is false, because the WHO say they have not created sny such ranking.",WHO said it had not created any such ranking system.,TRUE
237,"The WHO statement says that when diagnosing coronavirus, patients' clinical presentation and their contacts with confirmed cases should be taken into consideration together with PCR test results, not that PCR tests are futile at detecting coronavirus.","The WHO hasn't admitted the ""futility"" of PCR tests, the organization's statement notes that when diagnosing coronavirus,  patients' clinical presentation and their contacts with confirmed cases should be taken into consideration together with PCR test results. The WHO hasn't made a statement about 97% inaccuracy of PCR tests. Such a statement belongs to an Irish doctor Vincent Carroll and other specialists in this field disagree.",TRUE
238,"Sinovac did not announce that the efficacy rate for the CoronaVac vaccine is 70 percent, that number is from the trials conducted just in Brazil.",Sinovac did not disclose an efficacy rate for the CoronaVac vaccine. The figure of 70 percent shows the results obtained from the trials conducted just in Brazil.,TRUE
239,"A supplemental or medicinal oxygen tank can be substituted with a handmade ""oxygenator""? from a nebulizer or a fish tank pump.","That process only humidifies the water, but does not create oxygen, so that information is false and could aggravate the situation for someone who needs the oxygen tank.",FALSE
240,"Nurses were hospitalized in Paraty, Rio de Janeiro, after taking a dose of the vaccine produced by chinese company Sinovac Biotech","According to Rio de Janeiro's government, there have been no reports of adverse reactions to the vaccine in the state so far.",FALSE
241,"President of the Community of Madrid says that in health crises investors, people who risk, are the heroes","They are statements cut by Isabel Daaz Ayuso, president of the Community of Madrid, and do not correspond to the viral video with which they circulate",FALSE
242,"Is this the ""gift""? that Vucic is giving to our idiot ?! Since they do not allow it in Serbia, give it to the Vardar Banovina!","The Agency for Drugs and Medical Devices of the Republic of Serbia issued a statement, which refers to the misuse of this document on social networks. It explicitly states that the vaccines to which this certificate refers ""are imported on all legal grounds and controlled according to the highest standards followed by the Agency, ie its National Control Laboratory."" It is added that ""the vaccines to which this certificate refers have all the necessary permits and can be used in immunization in our country ""(meaning in Serbia).",FALSE
243,The ARNm vaccine changes DNA.,The techonology of a ARNm vaccine do not change DNA.,FALSE
244,A video showing that a woman in Quilmes (Argentina) was vaccinated with a needleless syringe,"The video circulating virally on Facebook omits the moment when the woman actually received the injection. Macarena Barrios, a cleaning worker at the Isidoro Iriarte de Quilmes provincial hospital, Province of Buenos Aires, received the first dose of Sputnik V on December 29, 2020 and several audiovisual records verify it.",FALSE
245,"Home Ministry Orders To Close Schools, Colleges due to Covid",The Ministry of Home Affairs has not ordered the closure of schools and colleges. A fake graphic plate in the name of Aaj Tak is going viral.,FALSE
246,Colombia started with covid vaccination,The country have not started vaccination. The national vaccination programme will start on February 20th,FALSE
247,The creator of the PCR tests said that they do not detect the new coronavirus,"The polymerase chain reaction (PCR) is the most reliable method that exists to rule out or confirm the disease, recommended by the World Health Organization (WHO). There are no records of the biochemist Kary Mullis, creator of the PCR tests, making a similar statement.",FALSE
248,A Cornell University professor said seven university labs are suing US health authorities for fraud after determining that Covid-19 does not exist.,"Covid-19 is a contagious disease that has killed more than two million people worldwide, Professor Robert Oswald described the comments attributed to him as a ""fabrication,""? and the universities identified by name said they are not involved in such a lawsuit.",FALSE
249,Covax vaccines are free and the colombian government did not pay for them,"The Colombian government paid 214,726,260 usd for Covax vaccines",FALSE
250,A doctor in Pakistan offering free treatment to those in need.,The images have been altered; the photos in fact show a doctor in Yemen and the original message on the car is in Arabic.,FALSE
